ID	Artist	Title	Link	Origin	Not in use	Voice
194	Journey	Don't Stop Believin'	http://www.youtube.com/watch?v=c8wn2fMYvns	Foreign		
195	Julia Michaels	Issues	http://www.youtube.com/watch?v=SfYXCwmgOoc	Foreign		
196	Jura Stublić & Film	Doći ću ti u snovima	https://www.youtube.com/watch?v=S1nJR0oYNeQ	EX-YU		
197	Justin Bieber	Sorry	http://www.youtube.com/watch?v=9CLvFIsp9oo	Foreign		
198	Justin Bieber	Love Yourself	http://www.youtube.com/watch?v=mY00uFz5bTA	Foreign		
199	Justin Bieber	Boyfriend	http://www.youtube.com/watch?v=LYI2Gwxqiag	Foreign		
200	Justin Bieber	What Do You Mean	http://www.youtube.com/watch?v=kKKXhrS_my4	Foreign		
201	Justin Bieber ft. Ludacris	Baby	http://www.youtube.com/watch?v=1a5SWpp9Wfg	Foreign		
202	JVKE	golden hour	http://www.youtube.com/watch?v=ju03AIeny2Q	Foreign		
203	Kantor	Ljubezen iz šolskih dni	https://www.youtube.com/watch?v=tehGmy3FouM	SLO		
204	Katy Perry	Roar	http://www.youtube.com/watch?v=hMF4h0gYN-0	Foreign		
205	Keane	Somewhere Only We Know	http://www.youtube.com/watch?v=l5shwZTwHec	Foreign		
206	Kelly Clarkson	Because Of You	http://www.youtube.com/watch?v=WWJyJGY1T2M	Foreign		
207	Keyshia Cole	Love	http://www.youtube.com/watch?v=L5t-8YP4U0A	Foreign		
208	Khalid	Location	http://www.youtube.com/watch?v=pgDxe8JO_wY	Foreign		
209	Kingston	Luna nad obalo	https://www.youtube.com/watch?v=dyuRw-fZOV8	SLO		
210	Klara	Za Slovenijo živim	https://www.youtube.com/watch?v=WaKBp6PeEmc	SLO		
211	Kreslin Lovšin Predin	Slovenija gre naprej	https://www.youtube.com/watch?v=bA8pyRi-3Xs	SLO		
212	Kuzma & Shaka Zulu	U mojoj ulici	https://www.youtube.com/watch?v=q2X-o5NJqJM	EX-YU		
213	Kuzma & Shaka Zulu	Lito ide mala	https://www.youtube.com/watch?v=KbAk-Ioq8pA	EX-YU		
214	Labrinth	Jealous	http://www.youtube.com/watch?v=uVAt8WqEJhE	Foreign		
215	Lady Antebellum	Need You Now	http://www.youtube.com/watch?v=U4j8UroIWqU	Foreign		
216	Lady Gaga	Always Remember Us This Way	http://www.youtube.com/watch?v=9sVKwwSvvLw	Foreign		
217	Lady Gaga	Bad Romance	http://www.youtube.com/watch?v=Ep0-h-rGHRk	Foreign		
218	Lady Gaga	I'll Never Love Again	http://www.youtube.com/watch?v=lOx30dknDos	Foreign		
219	Lady Gaga	Million Reasons	http://www.youtube.com/watch?v=BliQLvRf2EI	Foreign		
220	Lady Gaga, Bradley Cooper	Shallow (A Star Is Born)	http://www.youtube.com/watch?v=_nHT_k9Rswc	Foreign		
221	Lana Del Rey	Young And Beautiful	http://www.youtube.com/watch?v=w54NfoUuhXo	Foreign		
222	Langa in Civili	Za svobodo divjega srca	https://www.youtube.com/watch?v=FJIkArVrEfU	SLO		
223	Laufer	Moja voda	https://www.youtube.com/watch?v=IFn_BW40t88	EX-YU		
224	Lauren Daigle	You Say	http://www.youtube.com/watch?v=EgU_KyzoMZg	Foreign		
225	LeAnn Rimes	How Do I Live	http://www.youtube.com/watch?v=34xr8xYLYPo	Foreign		
226	Leb i sol	Skopje	https://www.youtube.com/watch?v=c-6qYXWE8gw	EX-YU		
227	Leona Lewis	Bleeding Love (Valentine's Day Karaoke)	http://www.youtube.com/watch?v=BsjLCISj4kU	Foreign		
228	Les Miserables	I Dreamed A Dream	http://www.youtube.com/watch?v=ruviSIVo-TM	Foreign		
229	Let 3	Vjeran pas	https://www.youtube.com/watch?v=2k2REOv_NaI	EX-YU		
230	Let 3	Izgubljeni	https://www.youtube.com/watch?v=58jjpGykiCc	EX-YU		
231	Let Her Go	Passenger	http://www.youtube.com/watch?v=Ug_OM0WzVmA	Foreign		
232	Lewis Capaldi	Someone You Loved	http://www.youtube.com/watch?v=0H3KpRuwBZ8	Foreign		
233	Lewis Capaldi	Before You Go	http://www.youtube.com/watch?v=5_3hSGhcuo0	Foreign		
234	Lil Nas X ft. Billy Ray Cyrus	Old Town Road (Remix)	http://www.youtube.com/watch?v=exPFJVbIz0c	Foreign		
235	Lionel Richie	Stuck On You	http://www.youtube.com/watch?v=s8CszZUic4w	Foreign		
236	Lionel Richie & Diana Ross	Endless Love	http://www.youtube.com/watch?v=yYgFs1_BUV0	Foreign		
237	Little Mix ft. Jason Derulo	Secret Love Song	http://www.youtube.com/watch?v=FWJtQj_Okpc	Foreign		
238	LoM	Svemir	https://www.youtube.com/watch?v=xIHR2sSZ9po	EX-YU		
239	LP	Lost On You	http://www.youtube.com/watch?v=9Mpv9Wlij5g	Foreign		
240	Luis Fonsi, Daddy Yankee ft. Justin Bieber	Despacito	http://www.youtube.com/watch?v=jRpDuEgqQQQ	Foreign		
241	Lukas Graham	7 Years	http://www.youtube.com/watch?v=ALq8ihw4pwU	Foreign		
242	Luky	Ti si more	https://www.youtube.com/watch?v=sgjIMpwrZlA	EX-YU		
243	Madison Beer	Reckless	http://www.youtube.com/watch?v=xbUHj4bQ5Ew	Foreign		
244	Magazin	Oko moje sanjivo	https://www.youtube.com/watch?v=aBdMPIS0Nj8	EX-YU		
245	Magazin	Ti si želja mog života	https://www.youtube.com/watch?v=yQsPRA8SrvI	EX-YU		
246	Magazin	Kako sam te voljela	https://www.youtube.com/watch?v=j6X5WY48YQw	EX-YU		
247	Magic!	Rude	http://www.youtube.com/watch?v=QQre5RbiyGM	Foreign		
248	Majda Sepe	Ribič, ribič me je ujel	https://www.youtube.com/watch?v=QELMB51fXZo	SLO		
249	Majke	Mene ne zanima	https://www.youtube.com/watch?v=g1t6fffyo28	EX-YU		
